Title,Author,Is Part Of,Dissertation,Edition,Publisher,Creation Date,Identifier,Format,Subjects,MESH subjects,Genre,Description,General note,With,Language,Attribution,Contents,Additional Title,Related Titles,Series,Frequency,Bound with,Source,MMS ID,Course Information,Permalink
Three-Dimensional Wiring for Extensible Quantum Computing: The Quantum Socket,"Béjanin, J. H. ;  McConkey, T. G. ;  Rinehart, J. R. ;  Earnest, C. T. ;  McRae, C. R. H. ;  Shiri, D. ;  Bateman, J. D. ;  Rohanizadegan, Y. ;  Penava, B. ;  Breul, P. ;  Royak, S. ;  Zapatka, M. ;  Fowler, A. G. ;  Mariantoni, M.","Physical review applied, 2016, Vol.6 (4), Article 044010",,,,,ISSN: 2331-7019; EISSN: 2331-7019; DOI: 10.1103/PhysRevApplied.6.044010,,"Annan elektroteknik och elektronik ;  Annan fysik ;  COMPUTATION ;  Condensed Matter Physics ;  Den kondenserade materiens fysik ;  Other Electrical Engineering, Electronic Engineering, Information Engineering ;  Other Physics Topics ;  SILICON ;  SUPERCONDUCTING CIRCUITS",,,"Quantum computing architectures are on the verge of scalability, a key requirement for the implementation of a universal quantum computer. The next stage in this quest is the realization of quantum error-correction codes, which will mitigate the impact of faulty quantum information on a quantum computer. Architectures with ten or more quantum bits (qubits) have been realized using trapped ions and superconducting circuits. While these implementations are potentially scalable, true scalability will require systems engineering to combine quantum and classical hardware. One technology demanding imminent efforts is the realization of a suitable wiring method for the control and the measurement of a large number of qubits. In this work, we introduce an interconnect solution for solid-state qubits: the quantum socket. The quantum socket fully exploits the third dimension to connect classical electronics to qubits with higher density and better performance than two-dimensional methods based on wire bonding. The quantum socket is based on spring-mounted microwires-the three-dimensional wires-that push directly on a microfabricated chip, making electrical contact. A small wire cross section (approximately 1 mm), nearly nonmagnetic components, and functionality at low temperatures make the quantum socket ideal for operating solid-state qubits. The wires have a coaxial geometry and operate over a frequency range from dc to 8 GHz, with a contact resistance of approximately 150 m Omega, an impedance mismatch of approximately 10 Omega, and minimal cross talk. As a proof of principle, we fabricate and use a quantum socket to measure high-quality superconducting resonators at a temperature of approximately 10 mK. Quantum error-correction codes such as the surface code will largely benefit from the quantum socket, which will make it possible to address qubits located on a two-dimensional lattice. The present implementation of the socket could be readily extended to accommodate a quantum processor with a (10 x 10)-qubit lattice, which would allow for the realization of a simple quantum memory.",,,English,,,,,,,,American Physical Society Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_swepub_primary_oai_research_chalmers_se_fd6e124d_2c7b_40af_a574_11c57233e14c
Quantum computing : a gentle introduction ,"Rieffel, Eleanor, 1965- author. ; Polak, Wolfgang, 1950- editor. ",,,,"Cambridge, Mass. : MIT Press",2011,OCLC : (OCoLC)742513505,"1 online resource (xiii, 372 pages) : illustrations",Quantum computers; Quantum theory,,,,,,English,Eleanor Rieffel and Wolfgang Polak.,,,,Scientific and engineering computation ,,,Library Catalog,99709830402461,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma99709830402461
Quantum computing without quantum computers: Database search and data processing using classical wave superposition,"Balynsky, Mykhaylo ;  Chiang, Howard ;  Gutierrez, David ;  Kozhevnikov, Alexander ;  Filimonov, Yuri ;  Khitun, Alexander","Journal of applied physics, 2021, Vol.130 (16)",,,"Ithaca: Cornell University Library, arXiv.org",,ISSN: 0021-8979; ISSN: 1089-7550; ISSN: 1520-8850; EISSN: 1089-7550; EISSN: 2331-8422; DOI: 10.1063/5.0068316; CODEN: JAPIAU,,Algorithms ;  Computing time ;  Data processing ;  Data search ;  Devices ;  Digital computers ;  Entanglement ;  Magnons ;  Physics - Quantum Physics ;  Power consumption ;  Quantum computers ;  Quantum computing ;  Quantum entanglement ;  Transistors,,,"Quantum computers are proven to be more efficient at solving a specific class of problems compared to traditional digital computers. Superposition of states and quantum entanglement are the two key ingredients that make quantum computing so powerful. However, not all quantum algorithms require quantum entanglement (e.g., search through an unsorted database). Is it possible to utilize classical wave superposition to speed up database searching as much as by using quantum computers? There were several attempts to mimic quantum computers using classical waves. It was concluded that the use of classical wave superposition comes with the cost of an exponential increase in resources. In this work, we consider the feasibility of building classical wave-based devices able to provide fundamental speedup over digital counterparts without the exponential overhead. We present experimental data on database searching through a magnetic database using spin wave superposition. The results demonstrate the same speedup as expected for quantum computers. Also, we present examples of numerical modeling demonstrating classical wave interference for period finding. This approach may not compete with quantum computers with efficiency but outperform classical digital computers. We argue that classical wave-based devices can perform some of the quantum algorithms with the same efficiency as quantum computers as long as quantum entanglement is not required.",,,English,,,,,,,,AIP Journals; arXiv.org; Alma/SFX Local Collection; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_2012_08401
An introduction to quantum computing ,"Kaye, Phillip, author. ; Laflamme, Raymond, editor. ; Mosca, Michele, editor. ",,,,Oxford : Oxford University Press,2007,OCLC : (OCoLC)437092641,"1 online resource (xi, 274 pages) : illustrations",Quantum computers; Computers,,,,,,English,"Phillip Kaye, Raymond Laflamme, Michele Mosca.",,,,,,,Library Catalog,99716831802461,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma99716831802461
CH+ Destruction by Reaction with H: Computing Quantum Rates To Model Different Molecular Regions in the Interstellar Medium,"Bovino, S ;  Grassi, T ;  Gianturco, F. A","The journal of physical chemistry. A, Molecules, spectroscopy, kinetics, environment, & general theory, 2015, Vol.119 (50), p.11973-11982",,,United States: American Chemical Society,,ISSN: 1089-5639; EISSN: 1520-5215; DOI: 10.1021/acs.jpca.5b02785; PMID: 26061287,,,,,"A detailed analysis of an ionic reaction that plays a crucial role in the carbon chemistry of the interstellar medium (ISM) is carried out by computing ab initio reactive cross sections with a quantum method and by further obtaining the corresponding CH+ destruction rates over a range of temperatures that shows good overall agreement with existing experiments. The differences found between all existing calculations and the very-low-T experiments are discussed and explored via a simple numerical model that links these cross section reductions to collinear approaches where nonadiabatic crossing is expected to dominate. The new rates are further linked to a complex chemical network that models the evolution of the CH+ abundance in the photodissociation region (PDR) and molecular cloud (MC) environments of the ISM. The abundances of CH+ are given by numerical solutions of a large set of coupled, first-order kinetics equations that employs our new chemical package krome. The analysis that we carry out reveals that the important region for CH+ destruction is that above 100 K, hence showing that, at least for this reaction, the differences with the existing laboratory low-T experiments are of essentially no importance within the astrochemical environments discussed here because, at those temperatures, other chemical processes involving the title molecule are taking over. A detailed analysis of the chemical network involving CH+ also shows that a slight decrease in the initial oxygen abundance might lead to higher CH+ abundances because the main chemical carbon ion destruction channel is reduced in efficiency. This might provide an alternative chemical route to understand the reason why general astrochemical models fail when the observed CH+ abundances are matched with the outcomes of their calculations.",,,English,,,,,,,,Nesli2 American Chemical Society; American Chemical Society Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_miscellaneous_1750428991
Prospects for measurement-based quantum computing with solid state spins,"Benjamin, S.C. ;  Lovett, B.W. ;  Smith, J.M.","Laser & photonics reviews, 2009, Vol.3 (6), p.556-574",,,Berlin: WILEY-VCH Verlag,,ISSN: 1863-8880; EISSN: 1863-8899; EISSN: 2331-8422; DOI: 10.1002/lpor.200810051,,Classical and quantum physics: mechanics and fields ;  coherence ;  Collapse ;  Computation ;  Diamonds ;  Electronics ;  Entanglement ;  Exact sciences and technology ;  graph states ;  Grounds ;  Lasers ;  NV centres ;  Optical measurement ;  Physics ;  Quantum computation ;  Quantum computing ;  Quantum dots ;  Quantum entanglement ;  Quantum information ;  Quantum theory ;  Qubits (quantum computing) ;  Semiconductors ;  Solid state ;  spin qubits,,,"This article aims to review the developments, both theoretical and experimental, that have in the past decade laid the ground for a new approach to solid state quantum computing. Measurement‐based quantum computing (MBQC) requires neither direct interaction between qubits nor even what would be considered controlled generation of entanglement. Rather it can be achieved using entanglement that is generated probabilistically by the collapse of quantum states upon measurement. Single electronic spins in solids make suitable qubits for such an approach, offering long coherence times and well defined routes to optical measurement. We will review the theoretical basis of MBQC and experimental data for two frontrunner candidate qubits – nitrogen‐vacancy (NV) centres in diamond and semiconductor quantum dots – and discuss the prospects and challenges that lie ahead in realising MBQC in the solid state.
This article reviews the developments, both theoretical and experimental, that have in the past decade laid the ground for a new approach to solid state quantum computing. Measurement‐based quantum computing (MBQC) requires neither direct interaction between qubits nor even what would be considered controlled generation of entanglement. Rather it can be achieved using entanglement that is generated probabilistically by the collapse of quantum states upon measurement.",,,English,,,,,,,,Wiley Online Library; arXiv.org; Free E- Journals; Wiley Journals Online,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_0901_3092
Nanowire integration in silica based integrated optical circuits: Limitations and challenges towards quantum computing,"Tsimvrakidis, Konstantinos ;  Tsintzos, Symeon I. ;  Gates, James C. ;  Smith, Peter G.R. ;  Elshaari, Ali W. ;  Zwiller, Val ;  Riziotis, Christos","Optics and laser technology, 2024, Vol.170, p.110276, Article 110276",,,,,ISSN: 0030-3992; ISSN: 1879-2545; EISSN: 1879-2545; DOI: 10.1016/j.optlastec.2023.110276,,Condensed Matter Physics ;  Den kondenserade materiens fysik ;  Fysik ;  Integrated optical circuits ;  Nanowires ;  Natural Sciences ;  Naturvetenskap ;  Physical Sciences ;  Quantum computing ;  Quantum dot ;  Quantum photonics ;  Silica ;  Waveguides,,,"Optical integrated circuits suggest a very promising platform for the development of robust and efficient quantum computers. A critical issue to their development and scalability is the integration of multiple single photon sources in the circuits. One major category of single photon sources is based on quantum dots that are embedded in semiconductor optical nanowires (NWQD) that allow their accurate handing and deterministic integration. Successful integrations of such nanowires have been reported in high index platforms like silicon or silicon nitride, with adequate coupling efficiency due the modal characteristics compatibility. On the other hand, Silica-on-Silicon is a major integration platform, which combined with new fabrication approaches like direct laser writing, for the definition of optical structures with refractive index modification, can provide the fabrication of highly optimized and tailor-made circuits by rapid prototyping. Considering for the first time the integration scenario of NWQD in laser written silica-based waveguides it is shown that the low (∼10-3) achievable refractive index contrast imposes strict limitations on the compatibility of such waveguides with NWQD resulting in general in low coupling efficiency. By considering several design and fabrication issues, suitable integration approaches with adequate efficiency are demonstrated, while also the limitations and challenges are revealed thus triggering new research directions.",,,English,,,,,,,,ScienceDirect; Elsevier ScienceDirect; Elsevier ScienceDirect Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_swepub_primary_oai_DiVA_org_kth_339506
Quantum computing : prospects and pitfalls.,,,,,Boston : Technology Research News,2004,OCLC : (OCoLC)923435472,1 online resource (70 pages) : illustrations,Quantum computers; Technology -- Research -- United States,,,,,,English,,,,,"TRN's making the future report ; no. 10 (Dec. 2003/Jan. 2004) ",,,Library Catalog,99710588702461,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma99710588702461
Applied physics. Diamond for quantum computing,"Prawer, Steven ;  Greentree, Andrew D","Science (American Association for the Advancement of Science), 2008, Vol.320 (5883), p.1601-1602",,,United States,,EISSN: 1095-9203; DOI: 10.1126/science.1158340; PMID: 18566276,,,,,,,,English,,,,,,,,American Association for the Advancement of Science; JSTOR Life Sciences Collection,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_miscellaneous_69228473
Quantum computing: Diamond and silicon converge,"Dzurak, Andrew","Nature (London), 2011, Vol.479 (7371), p.47",,,England,,EISSN: 1476-4687; DOI: 10.1038/479047a; PMID: 22051670,,,,,,,,English,,,,,,,,Nature journals; Nature; Alma/SFX Local Collection,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_pubmed_primary_22051670
Optical Quantum Computing,"O'Brien, Jeremy L","Science (American Association for the Advancement of Science), 2007, Vol.318 (5856), p.1567-1570",,,"Washington, DC: American Association for the Advancement of Science",,ISSN: 0036-8075; ISSN: 1095-9203; EISSN: 1095-9203; EISSN: 2331-8422; DOI: 10.1126/science.1142892; PMID: 18063781; CODEN: SCIEAS,,"Atoms ;  Atoms & subatomic particles ;  Axes of rotation ;  Classical and quantum physics: mechanics and fields ;  Computation ;  Computer science ;  Detectors ;  Exact sciences and technology ;  Fundamental areas of phenomenology (including applications) ;  History ;  Information technology ;  Innovations ;  Logic gates ;  Nonlinearity ;  Optical components ;  Optical computers, logic elements, interconnects, switches;  neural networks ;  Optical elements, devices, and systems ;  Optics ;  Phase shift ;  Photons ;  Physics ;  Physics - Quantum Physics ;  Quantum computation ;  Quantum computers ;  Quantum computing ;  Quantum efficiency ;  Quantum entanglement ;  Quantum information ;  Quantum mechanics ;  Quantum optics ;  Quantum theory ;  Review",,,"In 2001, all-optical quantum computing became feasible with the discovery that scalable quantum computing is possible using only single-photon sources, linear optical elements, and single-photon detectors. Although it was in principle scalable, the massive resource overhead made the scheme practically daunting. However, several simplifications were followed by proof-of-principle demonstrations, and recent approaches based on cluster states or error encoding have dramatically reduced this worrying resource overhead, making an all-optical architecture a serious contender for the ultimate goal of a large-scale quantum computer. Key challenges will be the realization of high-efficiency sources of indistinguishable single photons, low-loss, scalable optical circuits, high-efficiency single-photon detectors, and low-loss interfacing of these components.",,,English,,,,,,,,American Association for the Advancement of Science; JSTOR Life Sciences Collection; arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1126_science_1142892
