Title,Author,Is Part Of,Dissertation,Edition,Publisher,Creation Date,Identifier,Format,Subjects,MESH subjects,Genre,Description,General note,With,Language,Attribution,Contents,Additional Title,Related Titles,Series,Frequency,Bound with,Source,MMS ID,Course Information,Permalink
A 1-GS/s 6-8-b Cryo-CMOS SAR ADC for Quantum Computing,"Kiene, Gerd ;  Overwater, Ramon W. J. ;  Catania, Alessandro ;  Sreenivasulu, Aishwarya Gunaputi ;  Bruschi, Paolo ;  Charbon, Edoardo ;  Babaie, Masoud ;  Sebastiano, Fabio","IEEE journal of solid-state circuits, 2023, Vol.58 (7), p.2016-2027",,,New York: IEEE,,ISSN: 0018-9200; EISSN: 1558-173X; DOI: 10.1109/JSSC.2023.3237603; CODEN: IJSCBC,,Analog to digital converters ;  Analog-digital conversion ;  Analog-to-digital converter (ADC) ;  Circuits ;  CMOS ;  cryo-CMOS ;  Cryogenic temperature ;  Cryogenics ;  Digitization ;  Figure of merit ;  Impedance ;  loop unrolled ;  Noise levels ;  Power consumption ;  Power demand ;  Power management ;  Quantum computing ;  Qubit ;  Qubits (quantum computing) ;  SAR ;  Signal to noise ratio ;  Superconducting cables ;  variable common mode,,,"This article presents a two-times interleaved, loop-unrolled SAR analog-to-digital converter (ADC) operational from 300 down to 4.2 K. The 6-8-bit resolution and the sampling speed up to 1 GS/s are targeted at digitizing the multi-channel frequency-multiplexed input in a spin-qubit reflectometry readout for quantum computing. To optimize the circuit for the altered device behavior at cryogenic temperatures, a modified common-mode switching scheme is adopted as well as a flexible calibration. The design is implemented in 40-nm CMOS technology and achieves 36.2-dB signal to noise and distortion ratio (SNDR) for Nyquist input at 4.2 K while maintaining a Walden figure of merit (FOM textsubscript W) of 200 pJ/conv-step (for a 10.8-mW power consumption), including the clock receiver, and 15 pJ/conv-step (for a 0.8-mW power consumption) for just the core ADC. With these specifications, the ADC can support the simultaneous readout of 20 qubit channels with a power consumption of 0.5 mW/qubit, thus advancing toward the full integration of the cryogenic readout for future large-scale quantum processors.",,,English,,,,,,,,IEEE Xplore All Journals; IEEE Electronic Library (IEL) Journals; IEEE Xplore Open Access Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_journals_2830414558
Hydrogen Bonds and Stacking Interactions on the DNA Structure: A Topological View of Quantum Computing ,"Galdino de, Boaz, author. ",,,,sine loco : IntechOpen,2012,,1 online resource,Science,,,Hydrogen Bonds and Stacking Interactions on the DNA Structure: A Topological View of Quantum Computing,,,English,Boaz Galdino de.,,,,,,,Library Catalog,99651309002461,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma99651309002461
Estimating Phosphorescent Emission Energies in Ir III Complexes Using Large-Scale Quantum Computing Simulations,"Genin, Scott N ;  Ryabinkin, Ilya G ;  Paisley, Nathan R ;  Whelan, Sarah O ;  Helander, Michael G ;  Hudson, Zachary M","Angewandte Chemie (International ed.), 2022, Vol.61 (19), p.e202116175",,,Germany,,ISSN: 1433-7851; EISSN: 1521-3773; DOI: 10.1002/anie.202116175; PMID: 35285999,,,,,"Here we calculate T
→S
transition energies in nine phosphorescent iridium complexes using the iterative qubit coupled cluster (iQCC) method to determine if quantum simulations have any advantages over classical methods. These simulations would require a gate-based quantum computer with at least 72 fully-connected logical qubits. Since such devices do not yet exist, we demonstrate the iQCC method using a purpose-built quantum simulator on classical hardware. The results are compared to a selection of common DFT functionals, ab initio methods, and empirical data. iQCC is found to match the accuracy of the best DFT functionals, but with a better correlation coefficient, demonstrating that it is better at predicting the structure-property relationship. Results indicate that the iQCC method has the required accuracy to design organometallic complexes when deployed on emerging quantum hardware and sets an industrially relevant target for demonstrating quantum advantage.",,,English,,,,,,,,Wiley Online Library; NESLI2 Wiley Online Library Full Collection:2012-2014; Wiley Online Library Chemistry Backfiles,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_crossref_primary_10_1002_anie_202116175
Quantum computing,"Rietsche, Roman ;  Dremel, Christian ;  Bosch, Samuel ;  Steinacker, Léa ;  Meckel, Miriam ;  Leimeister, Jan-Marco","Electronic markets, 2022, Vol.32 (4), p.2525-2536",,,Berlin/Heidelberg: Springer Berlin Heidelberg,,ISSN: 1019-6781; ISSN: 1422-8890; EISSN: 1422-8890; DOI: 10.1007/s12525-022-00570-y,,Algorithms ;  Application ;  Business and Management ;  Cloud computing ;  Computer science ;  Computers ;  e-Commerce/e-business ;  Fundamentals ;  Information systems ;  IT in Business ;  Principles ;  Quantum computers ;  Quantum computing ;  Quantum entanglement ;  Quantum mechanics ;  Quantum physics ;  R&D ;  Research & development ;  Software,,,"Quantum computing promises to be the next disruptive technology, with numerous possible applications and implications for organizations and markets. Quantum computers exploit principles of quantum mechanics, such as superposition and entanglement, to represent data and perform operations on them. Both of these principles enable quantum computers to solve very specific, complex problems significantly faster than standard computers. Against this backdrop, this fundamental gives a brief overview of the three layers of a quantum computer: hardware, system software, and application layer. Furthermore, we introduce potential application areas of quantum computing and possible research directions for the field of information systems.",,,English,,,,,,,,International Bibliography of the Social Sciences (IBSS); KB+ JISC Collections Springer Compact 2019-2021; SpringerLink Journals - AutoHoldings; Springer Journals Online,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1007_s12525_022_00570_y
"Resource-efficient verification of quantum computing using Serfling's bound","Takeuchi, Yuki ;  Mantri, Atul ;  Morimae, Tomoyuki ;  Mizutani, Akihiro ;  Fitzsimons, Joseph F","arXiv.org, 2019",,,"Ithaca: Cornell University Library, arXiv.org",,EISSN: 2331-8422; DOI: 10.1038/s41534-019-0142-2,,Computation ;  Continuity (mathematics) ;  Data processing ;  Physics - Quantum Physics ;  Program verification (computers) ;  Protocol ;  Quantum computing ;  Quantum phenomena ;  Quantum theory ;  Qubits (quantum computing) ;  Theorems,,,"Verifying quantum states is central to certifying the correct operation of various quantum information processing tasks. In particular, in measurement-based quantum computing, checking whether correct graph states are generated is essential for reliable quantum computing. Several verification protocols for graph states have been proposed, but none of these are particularly resource efficient: multiple copies are required to extract a single state that is guaranteed to be close to the ideal one. The best protocol currently known requires \(O(n^{15})\) copies of the state, where \(n\) is the size of the graph state. In this paper, we construct a significantly more resource-efficient verification protocol for graph states that only requires \(O(n^5\log{n})\) copies. The key idea is to employ Serfling's bound, which is a probability inequality in classical statistics. Utilizing Serfling's bound also enables us to generalize our protocol for qudit and continuous-variable graph states. Constructing a resource-efficient verification protocol for them is non-trivial. For example, the previous verification protocols for qubit graph states that use the quantum de Finetti theorem cannot be generalized to qudit and continuous-variable graph states without tremendously increasing the resource overhead. This is because the overhead caused by the quantum de Finetti theorem depends on the local dimension. On the other hand, in our protocol, the resource overhead is independent of the local dimension, and therefore generalizing to qudit or continuous-variable graph states does not increase the overhead. The flexibility of Serfling's bound also makes our protocol robust: our protocol accepts slightly noisy but still useful graph states.",,,English,,,,,,,,arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_1806_09138
Quantum Internet: Networking Challenges in Distributed Quantum Computing,"Cacciapuoti, Angela Sara ;  Caleffi, Marcello ;  Tafuri, Francesco ;  Cataliotti, Francesco Saverio ;  Gherardini, Stefano ;  Bianchi, Giuseppe","IEEE network, 2020, Vol.34 (1), p.137-143",,,Ithaca: IEEE,,ISSN: 0890-8044; EISSN: 1558-156X; EISSN: 2331-8422; DOI: 10.1109/MNET.001.1900092; CODEN: IENEET,,Atmospheric measurements ;  Cloning ;  Communication networks ;  Computation ;  Internet ;  Mechanical variables measurement ;  Quantum computing ;  Quantum entanglement ;  Quantum mechanics ;  Quantum phenomena ;  Quantum physics ;  Quantum teleportation ;  Quantum theory ;  Qubit,,,"The Quantum Internet, a network interconnecting remote quantum devices through quantum links in synergy with classical ones, is envisioned as the final stage of the quantum revolution, opening fundamentally new communications and computing capabilities. But the Quantum Internet is governed by the laws of quantum mechanics. Phenomena with no counterpart in classical networks, such as no-cloning, quantum measurement, entanglement and quantum teleportation, impose new challenging constraints for network design. Specifically, classical network functionalities are based on the assumption that classical information can be safely read and copied. However, this assumption does not hold in the Quantum Internet. As a consequence, its design requires a major network-paradigm shift to harness the quantum mechanics specificities. The goal of this work is to shed light on the challenges and open problems of Quantum Internet design. We first introduce some basic knowledge of quantum mechanics, needed to understand the differences between a classical and a quantum network. Then, we introduce quantum teleportation as the key strategy for transmitting quantum information without physically transferring the particle that stores the quantum information or violating the principles of quantum mechanics. Finally, the key research challenges to design quantum communication networks are discussed.",,,English,,,,,,,,IEEE Xplore All Journals; IEEE Electronic Library (IEL) Journals; arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_ieee_primary_8910635
"Roots of quantum computing supremacy: superposition, entanglement, or complementarity?","Khrennikov, Andrei","The European physical journal. ST, Special topics, 2021, Vol.230 (4), p.1053-1057",,,Berlin/Heidelberg: Springer Berlin Heidelberg,,ISSN: 1951-6355; ISSN: 1951-6401; EISSN: 1951-6401; DOI: 10.1140/epjs/s11734-021-00061-9,,Algorithms ;  Atomic ;  Classical and Continuum Physics ;  Condensed Matter Physics ;  Matematik ;  Materials Science ;  Mathematics ;  Measurement Science and Instrumentation ;  Molecular ;  Natural Sciences ;  Naturvetenskap ;  Non-Equilibrium Systems and Foundations of Quantum Physics ;  Optical and Plasma Physics ;  Physics ;  Physics and Astronomy ;  Probability theory ;  Quantum computing ;  Quantum entanglement ;  Quantum phenomena ;  Quantum theory ;  Random variables ;  Regular Article ;  Statistical analysis ;  Statistical tests,,,"The recent claim of Google to have brought forth a breakthrough in quantum computing represents a major impetus to further analyze the foundations for any claims of superiority regarding quantum algorithms. This note attempts to present a conceptual step in this direction. I start with a critical analysis of what is commonly referred to as entanglement and quantum nonlocality and whether or not these concepts may be the basis of quantum superiority. Bell-type experiments are then interpreted as statistical tests of Bohr’s principle of complementarity (PCOM), which is, thus, given a foothold within the area of quantum informatics and computation. PCOM implies (by its connection to probability) that probabilistic algorithms may proceed without the knowledge of joint probability distributions (jpds). The computation of jpds is exponentially time consuming. Consequently, classical probabilistic algorithms, involving the computation of jpds for
n
random variables, can be outperformed by quantum algorithms (for large values of
n
). Quantum probability theory (QPT) modifies the classical formula for the total probability (FTP). Inference based on the quantum version of FTP leads to a constructive interference that increases the probability of some events and reduces that of others. The physical realization of this probabilistic advantage is based on the discreteness of quantum phenomena (as opposed to the continuity of classical phenomena).",,,English,,,,,,,,KB+ JISC Collections Springer Compact 2019-2021; Accès IHES - Bibliothèque N.H. Kuiper - Springer Standard Collection; SpringerLink Journals - AutoHoldings; Springer Journals Online,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1140_epjs_s11734_021_00061_9
Pseudo-2D superconducting quantum computing circuit for the surface code: proposal and preliminary tests,"Mukai, Hiroto ;  Sakata, Keiichi ;  Devitt, Simon J ;  Wang, Rui ;  Zhou, Yu ;  Nakajima, Yukito ;  Tsai, Jaw-Shen","New journal of physics, 2020, Vol.22 (4), p.43013",,,Ithaca: IOP Publishing,,ISSN: 1367-2630; EISSN: 1367-2630; EISSN: 2331-8422; DOI: 10.1088/1367-2630/ab7d7d; CODEN: NJOPFM,,Access control ;  airbridge ;  Chips (electronics) ;  Circuits ;  Computation ;  Computer architecture ;  Computer simulation ;  Crosstalk ;  Error correction ;  Gates (circuits) ;  Packaging ;  Q factors ;  Quantum computers ;  Quantum computing ;  quantum information ;  Quantum theory ;  Qubits (quantum computing) ;  resonator ;  Resonators ;  superconducting quantum circuit ;  Superconductivity ;  surface code ;  Wiring,,,"Among the major hardware platforms for large-scale quantum computing, one of the leading candidates is superconducting quantum circuits. Current proposed architectures for quantum error-correction with the promising surface code require a two-dimensional layout of superconducting qubits with nearest-neighbor interactions. A major hurdle for the scalability in such an architecture using superconducting systems is the so-called wiring problem, where qubits internal to a chipset become difficult to access by the external control/readout lines. In contrast to the existing approaches which address the problem through intricate three-dimensional wiring and packaging technology, leading to a significant engineering challenge, here we address this problem by presenting a modified microarchitecture in which all the wiring can be realized through a newly introduced pseudo two-dimensional resonator network which provides the inter-qubit connections via airbridges. Our proposal is completely compatible with current standard planar circuit technology. We carried out experiments to examine the feasibility of the new airbridge component. The measured quality factor of the airbridged resonator is below the simulated surface-code threshold required for a coupling resonator, and it should not limit simulated gate fidelity. The measured crosstalk between crossed resonators is at most −49 dB in resonance. Further spatial and frequency separation between the resonators should result in relatively limited crosstalk between them, which would not increase as the size of the chipset increases. This architecture and the preliminary tests indicate the possibility that a large-scale, fully error-corrected quantum computer could be constructed by monolithic integration technologies without additional overhead or special packaging know-how.",,,English,,,,,,,,Institute of Physics Journals; DOAJ Directory of Open Access Journals; Scholars Portal Journals: Open Access; Institute of Physics Open Access Journal Titles; GFMER Free Medical Journals; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_doaj_primary_oai_doaj_org_article_4b868c652d70440f86969783d7aa3371
Quantum Computing at an Inflection Point: Are we Ready for a New Paradigm,"Bhasin, Ashish ;  Tripathi, Manas","IEEE transactions on engineering management, 2023, Vol.70 (7), p.2546-2557",,,IEEE,,ISSN: 0018-9391; EISSN: 1558-0040; DOI: 10.1109/TEM.2021.3103904; CODEN: IEEMA4,,Hardware ;  Industries ;  Organizations ;  QC barriers ;  Quantum computer introduction ;  Quantum computing ;  quantum computing (QC) ;  Quantum mechanics ;  Qubit ;  Software,,,"Quantum computers leverage quantum mechanics to enable complex processing power enabling computation within a finite timeframe. As the industry reaches a peak of uncertainties in classical computing, researchers see an opportunity in quantum computing to resolve these uncertainties by unraveling the quantum mechanism that quantum physicists built for over a century. Organizations and academics have been working in tandem to conceptualize the quantum world through quantum computers. This article evaluates the tipping points of the quantum computers in the organization, the barrier of adoption, and a mitigation strategy. The article involves an extensive literature review of the current state and future application expectations from quantum computers. As part of this article, the authors interviewed senior industry technology experts to explore quantum computers' introduction in the industry, and discussed the barriers to adopting quantum computing.",,,English,,,,,,,,IEEE Xplore All Journals; IEEE Electronic Library (IEL) Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_crossref_primary_10_1109_TEM_2021_3103904
Nuclear magnetic resonance for quantum computing： Techniques and recent achievements,辛涛; 王碧雪; 李可仁; 孔祥宇; 魏世杰; 王涛; 阮东; 龙桂鲁,"Chinese physics B, 2018, Vol.27 (2), p.154-165",,,,,ISSN: 1674-1056; EISSN: 2058-3834; DOI: 10.1088/1674-1056/27/2/020308,,控制技术; 原子; 计算; 回声; 磁性; 信息处理系统; 协调控制; 机器学习,,,"Rapid developments in quantum information processing have been made, and remarkable achievements have been obtained in recent years, both in theory and experiments. Coherent control of nuclear spin dynamics is a powerful tool for the experimental implementation of quantum schemes in liquid and solid nuclear magnetic resonance （NMR） system, especially in liquid-state NMR. Compared with other quantum information processing systems, the NMR platform has the advantages such as the long coherence time, the precise manipulation, and well-developed quantum control techniques, which make it possible to accurately control a quantum system with up to 12-qubits. Extensive applications of liquid-state NMR spectroscopy in quantum information processing such as quantum communication, quantum computing, and quantum simulation have been thoroughly studied over half a century. This article introduces the general principles of NMR quantum information processing, and reviews the new-developed techniques. The review will also include the recent achievements of the experimental realization of quantum algorithms for machine learning, quantum simulations for high energy physics, and topological order in NMR. We also discuss the limitation and prospect of liquid-state NMR spectroscopy and the solid-state NMR systems as quantum computing in the article.",,,English,,,,,,,,Institute of Physics Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_crossref_primary_10_1088_1674_1056_27_2_020308
On the potentials of quantum computing – An interview with Heike Riel from IBM Research,"Alt, Rainer","Electronic markets, 2022, Vol.32 (4), p.2537-2543",,,Berlin/Heidelberg: Springer Berlin Heidelberg,,ISSN: 1019-6781; ISSN: 1422-8890; EISSN: 1422-8890; DOI: 10.1007/s12525-022-00616-1,,Business and Management ;  Computers ;  e-Commerce/e-business ;  Interviews ;  Invited Paper ;  IT in Business ;  Mathematical problems ;  Optimization ;  Parameters ;  Quantum computers ;  Quantum computing ;  Risk assessment ;  Simulation,,,"In this interview, Dr. Heike Riel, a leading scientist and Fellow at IBM Research, reports on the current state of research in the field of quantum computing. Building on the distinction of gateable quantum computers and quantum annealers, the interview sheds light on how research has evolved on gateable quantum computers, which are the path developed by IBM. These gateable quantum computers are described with their current status as well as the improvements and challenges regarding speed, scale, and quality. All three parameters are important for increasing the performance of these universal quantum computers and for leveraging their potentials compared to classical computers. In particular, complex mathematical problems being present in numerous applications in science and business may be solved. Among the examples mentioned are optimization problems that tend to scale exponentially with the number of parameters, for example, in material and natural sciences or simulation problems in the financial industry and in manufacturing. The interview concludes with a critical assessment of possible risks and expectations for the future.",,,English,,,,,,,,International Bibliography of the Social Sciences (IBSS); KB+ JISC Collections Springer Compact 2019-2021; SpringerLink Journals - AutoHoldings; Springer Journals Online,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1007_s12525_022_00616_1
Adiabatic quantum computation and quantum annealing : theory and practice ,"McGeoch, Catherine C., 1959- author. ",,,,"San Rafael, California 1537 Fourth Street, San Rafael, CA 94901 USA : Morgan & Claypool",2014,ISBN : 9781627053365 ebook; ISBN : print; ISBN : 1627053360; OCLC : (OCoLC)887483431,"1 PDF (ix, 83 pages) : illustrations.",Quantum computers -- Mathematics; Adiabatic invariants; quantum computing; adiabatic quantum computation; quantum annealing; D-Wave Systems; optimization; NP-hard problems,,,"Adiabatic quantum computation (AQC) is an alternative to the better-known gate model of quantum computation. The two models are polynomially equivalent, but otherwise quite dissimilar: one property that distinguishes AQC from the gate model is its analog nature. Quantum annealing (QA) describes a type of heuristic search algorithm that can be implemented to run in the native instruction set of an AQC platform. D-Wave Systems Inc. manufactures quantum annealing processor chips that exploit quantum properties to realize QA computations in hardware. The chips form the centerpiece of a novel computing platform designed to solve NP-hard optimization problems. Starting with a 16-qubit prototype announced in 2007, the company has launched and sold increasingly larger models: the 128-qubit D-Wave One system was announced in 2010 and the 512-qubit D-Wave Two system arrived on the scene in 2013. A 1,000-qubit model is expected to be available in 2014. This monograph presents an introductory overview of this unusual and rapidly developing approach to computation. We start with a survey of basic principles of quantum computation and what is known about the AQC model and the QA algorithm paradigm. Next we review the D-Wave technology stack and discuss some challenges to building and using quantum computing systems at a commercial scale. The last chapter reviews some experimental efforts to understand the properties and capabilities of these unusual platforms. The discussion throughout is aimed at an audience of computer scientists with little background in quantum computation or in physics.",Part of: Synthesis digital library of engineering and computer science.; Series from website.,,English,Catherine C. McGeoch.,"1. Introduction -- 1.1 What's inside -- 1.2 What happens next? -- ; 2. Adiabatic quantum computation -- 2.1 Basics of quantum computation -- 2.2 Components of AQC algorithms -- 2.2.1 A simple example -- 2.2.2 The adiabatic theorem -- 2.3 An algorithm for exact cover -- 2.3.1 Runtime analysis -- 2.4 Complexity classes -- 2.4.1 AQC and related models -- ; 3. Quantum annealing -- 3.1 Optimization and heuristic search -- 3.2 Classical implementations of QA -- 3.2.1 Ising model and related problems -- 3.2.2 General satisfiability -- 3.2.3 Traveling salesman problem -- 3.2.4 Factoring integers -- ; 4. The D-wave platform -- 4.1 The user's view -- 4.2 The technology stack -- 4.2.1 Qubits and couplers -- 4.2.2 Topology -- 4.2.3 Control circuitry -- 4.3 Challenges -- 4.4 Some alternative quantum annealing systems -- ; 5. Computational experience -- 5.1 What problems can it solve? -- 5.1.1 Training classifiers -- 5.1.2 Finding Ramsey numbers -- 5.1.3 Protein folding -- 5.1.4 General optimization -- 5.2 Is it quantum? -- 5.2.1 Quantum annealing vs. thermal annealing -- 5.2.2 Demonstration of entanglement -- 5.2.3 Signatures of quantum annealing -- 5.3 How fast is it? -- 5.4 Epilogue -- ; Bibliography -- Author's biography.",,,"Synthesis digital library of engineering and computer science. ; Synthesis lectures on quantum computing ; # 8. ; Synthesis lectures on quantum computing, 1945-9734 ; # 8 ",,,Library Catalog,9965653202461,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma9965653202461
Quantum-computing pioneer warns of complacency over Internet security,"Castelvecchi, Davide","Nature (London), 2020, Vol.587 (7833), p.189-189",,,England: Nature Publishing Group,,ISSN: 0028-0836; EISSN: 1476-4687; DOI: 10.1038/d41586-020-03068-9; PMID: 33139910,,"Algorithms ;  Computers ;  Encryption ;  Error correcting codes ;  Error correction ;  Error correction & detection ;  Error reduction ;  Forecasts and trends ;  Internet ;  Management ;  Noise reduction ;  Prime numbers ;  Quantum computing ;  Qubits (quantum computing) ;  Safety and security measures ;  Security ;  Shor, Peter W ;  Warnings",,,Nature talks to Peter Shor 25 years after he showed how to make quantum computations feasible -- and how they could endanger our data. Nature talks to Peter Shor 25 years after he showed how to make quantum computations feasible -- and how they could endanger our data.,,,English,,,,,,,,Nature journals; Nature; Alma/SFX Local Collection,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_journals_2473411128
Perspective on the Current State-of-the-Art of Quantum Computing for Drug Discovery Applications,"Blunt, Nick S. ;  Camps, Joan ;  Crawford, Ophelia ;  Izsák, Róbert ;  Leontica, Sebastian ;  Mirani, Arjun ;  Moylett, Alexandra E. ;  Scivier, Sam A. ;  Sünderhauf, Christoph ;  Schopf, Patrick ;  Taylor, Jacob M. ;  Holzmann, Nicole","Journal of chemical theory and computation, 2022, Vol.18 (12), p.7001-7023",,,United States: American Chemical Society,,ISSN: 1549-9618; ISSN: 1549-9626; EISSN: 1549-9626; EISSN: 2331-8422; DOI: 10.1021/acs.jctc.2c00574; PMID: 36355616,,Algorithms ;  Computational chemistry ;  Computing costs ;  Computing Methodologies ;  Coordination compounds ;  Drug Discovery ;  Electrons ;  Error correction ;  Estimates ;  Mathematical analysis ;  Pharmaceutical industry ;  Pharmaceutical Preparations ;  Pharmaceuticals ;  Quantum computing ;  Quantum Theory,,,"Computational chemistry is an essential tool in the pharmaceutical industry. Quantum computing is a fast evolving technology that promises to completely shift the computational capabilities in many areas of chemical research by bringing into reach currently impossible calculations. This perspective illustrates the near-future applicability of quantum computation of molecules to pharmaceutical problems. We briefly summarize and compare the scaling properties of state-of-the-art quantum algorithms and provide novel estimates of the quantum computational cost of simulating progressively larger embedding regions of a pharmaceutically relevant covalent protein–drug complex involving the drug Ibrutinib. Carrying out these calculations requires an error-corrected quantum architecture that we describe. Our estimates showcase that recent developments on quantum phase estimation algorithms have dramatically reduced the quantum resources needed to run fully quantum calculations in active spaces of around 50 orbitals and electrons, from estimated over 1000 years using the Trotterization approach to just a few days with sparse qubitization, painting a picture of fast and exciting progress in this nascent field.",,,English,,,,,,,,arXiv.org; Free E- Journals; Nesli2 American Chemical Society; American Chemical Society Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1021_acs_jctc_2c00574
N‑Electron Valence Perturbation Theory with Reference Wave Functions from Quantum Computing: Application to the Relative Stability of Hydroxide Anion and Hydroxyl Radical,"Tammaro, Alessandro ;  Galli, Davide E. ;  Rice, Julia E. ;  Motta, Mario","The journal of physical chemistry. A, Molecules, spectroscopy, kinetics, environment, & general theory, 2023, Vol.127 (3), p.817-827",,,United States: American Chemical Society,,ISSN: 1089-5639; ISSN: 1520-5215; EISSN: 1520-5215; DOI: 10.1021/acs.jpca.2c07653; PMID: 36638358,,A: New Tools and Methods in Experiment and Theory,,,"Quantum simulations of the hydroxide anion and hydroxyl radical are reported, employing variational quantum algorithms for near-term quantum devices. The energy of each species is calculated along the dissociation curve, to obtain information about the stability of the molecular species being investigated. It is shown that simulations restricted to valence spaces incorrectly predict the hydroxyl radical to be more stable than the hydroxide anion. Inclusion of dynamical electron correlation from nonvalence orbitals is demonstrated, through the integration of the variational quantum eigensolver and quantum subspace expansion methods in the workflow of N-electron valence perturbation theory, and shown to correctly predict the hydroxide anion to be more stable than the hydroxyl radical, provided that basis sets with diffuse orbitals are also employed. Finally, we calculate the electron affinity of the hydroxyl radical using an aug-cc-pVQZ basis on IBM’s quantum devices.",,,English,,,,,,,,Nesli2 American Chemical Society; American Chemical Society Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1021_acs_jpca_2c07653
Molecular Quantum Dynamics: A Quantum Computing Perspective,"Ollitrault, Pauline J ;  Miessen, Alexander ;  Tavernelli, Ivano","Accounts of chemical research, 2021, Vol.54 (23), p.4229-4238",,,American Chemical Society,,ISSN: 0001-4842; EISSN: 1520-4898; DOI: 10.1021/acs.accounts.1c00514,,,,,"Conspectus Simulating molecular dynamics (MD) within a comprehensive quantum framework has been a long-standing challenge in computational chemistry. An exponential scaling of computational cost renders solving the time dependent Schrödinger equation (TDSE) of a molecular Hamiltonian, including both electronic and nuclear degrees of freedom (DOFs), as well as their couplings, infeasible for more than a few DOFs. In the Born–Oppenheimer (BO), or adiabatic, picture, electronic and nuclear parts of the wave function are decoupled and treated separately. Within this framework, the nuclear wave function evolves along potential energy surfaces (PESs) computed as solutions to the electronic Schrödinger equation parametrized in the nuclear DOFs. This approximation, together with increasingly elaborate numerical approaches to solve the nuclear time dependent Schrödinger equation (TDSE), enabled the treatment of up to a few dozens of degrees of freedom (DOFs). However, for particular applications, such as photochemistry, the BO approximation breaks down. In this regime of non-adiabatic dynamics, solving the full molecular problem including electron–nuclear couplings becomes essential, further increasing the complexity of the numerical solution. Although valuable methods such as multiconfigurational time-dependent Hartree (MCTDH) have been proposed for the solution of the coupled electron–nuclear dynamics, they remain hampered by an exponential scaling in the number of nuclear DOFs and by the difficulty of finding universal variational forms. In this Account, we present a perspective on novel quantum computational algorithms, aiming to alleviate the exponential scaling inherent to the simulation of many-body quantum dynamics. In particular, we focus on the derivation and application of quantum algorithms for adiabatic and non-adiabatic quantum dynamics, which include efficient approaches for the calculation of the BO potential energy surfaces (PESs). Thereafter, we study the time-evolution of a model system consisting of two coupled PESs in first and second quantization. In a first application, we discuss a recently introduced quantum algorithm for the evolution of a wavepacket in first quantization and exploit the potential quantum advantage of mapping its spatial grid representation to logarithmically many qubits. For the second demonstration, we move to the second quantization framework and review the scaling properties of two alternative time-evolution algorithms, namely, a variational quantum algorithm (VQA) (based on the McLachlan variational principle) and conventional Trotter-type evolution (based on a Lie–Trotter–Suzuki formula). Both methods clearly demonstrate the potential of quantum algorithms and their favorable scaling compared to the available classical approaches. However, a clear demonstration of quantum advantage in the context of molecular quantum dynamics may require the implementation of these algorithms in fault-tolerant quantum computers, while their application in near-term, noisy quantum devices is still unclear and deserves further investigation.",,,English,,,,,,,,Nesli2 American Chemical Society; American Chemical Society Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_miscellaneous_2598536707
